LevelNo,LevelType,LevelName,BonusLevel,GridDelay,BulletMaxim,BulletFrame,BulletShoot,EnemySpawn,EnemyTotal,EnemyStartDelay,EnemyStartDelta,EnemyFrameDelay,EnemyFrameDelta,EnemyFrameMinim,EnemyFrameRange,EnemySpeedNone,EnemySpeedWave,EnemySpeedFast,ExplodeDelay
1,Hard,MOOT,FALSE,300,3,50,100,2,20,2000,0,1000,0,600,200,100,0,0,100
2,Hard,GEEZA,FALSE,250,3,50,100,4,50,2000,0,1000,0,600,200,70,20,10,100
3,Hard,AMAR,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
4,Hard,CIECIEL,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
5,Hard,BONUS 1,TRUE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
6,Hard,OLISIS,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
7,Hard,LUCASIA,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
8,Hard,IDA,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
9,Hard,REVI,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
10,Hard,MINIA,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
11,Hard,PARMS,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
12,Hard,BONUS 2,TRUE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
13,Hard,DRAIL,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
14,Hard,ASUTE,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
15,Hard,VICEL,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
16,Hard,NATURA,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
17,Hard,NARK,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
18,Hard,ABSYMBEL,FALSE,200,3,50,100,6,100,2000,50,1000,50,500,250,50,30,20,100
